Prediction,Signal,Target_PnL,Strategy_PnL
-0.012233607,0,-0.729951,0.0
-0.020316342,0,-0.7511486,0.0
0.009639727,0,-0.7671487,0.0
-0.0050921454,0,-0.7778316,0.0
0.0016059311,0,-0.6747359,0.0
0.022842731,0,-0.6385785,0.0
0.0640769,0,-0.6066902,0.0
0.06926743,0,-0.5973386,0.0
0.06728862,0,-0.5833393,0.0
0.07344808,0,-0.5231453,0.0
0.0702786,0,-0.54289836,0.0
0.02002622,0,-0.5824596,0.0
-0.007753773,0,-0.5632742,0.0
-0.0014023762,0,-0.5467777,0.0
0.029637491,0,-0.530203,0.0
0.0030839473,0,-0.43604115,0.0
0.0099504655,0,-0.4380361,0.0
0.02194844,0,-0.46569753,0.0
0.06412645,0,-0.5075471,0.0
0.0466481,0,-0.5084276,0.0
0.02465152,0,-0.533191,0.0
0.008297033,0,-0.55906665,0.0
-0.000407245,0,-0.31780967,0.0
-0.033710666,0,-0.4104574,0.0
-0.044505317,0,-0.39118728,0.0
-0.048244387,0,-0.4181849,0.0
-0.05197493,0,-0.38658473,0.0
-0.1032932,-1,-0.38963354,0.0
-0.12268277,-1,-0.43414047,0.0
-0.10094528,-1,-0.44917652,0.0
-0.062409356,0,-0.44952542,0.0
-0.05361038,0,-0.4103157,0.0
-0.06645407,0,-0.35983923,0.0
-0.060419522,0,-0.3154863,0.0
-0.055097383,0,-0.30165356,0.0
-0.06154758,0,0.0,0.0
-0.06396124,0,0.0,0.0
-0.057994567,0,0.0,0.0
-0.05703375,0,0.0,0.0
-0.07368905,0,0.0,0.0
-0.084572256,0,0.0,0.0
-0.071423456,0,0.0,0.0
-0.057727788,0,0.0,0.0
-0.05435699,0,0.008261351,0.0
-0.055567537,0,0.017429648,0.0
-0.04286796,0,0.048846357,0.0
-0.004989634,0,0.08872493,0.0
0.0046101906,0,0.13154376,0.0
0.015376325,0,0.07189191,0.0
0.0035795562,0,0.012673465,0.0
0.012873048,0,0.04496661,0.0
0.0023181357,0,0.051327553,0.0
0.0031513192,0,0.069963165,0.0
0.022756506,0,0.029346347,0.0
0.053037684,0,0.0,0.0
0.053759966,0,0.0,0.0
0.052425615,0,0.0,0.0
0.056031156,0,0.0,0.0
0.09651357,0,0.0,0.0
0.099245146,0,0.0,0.0
0.09768352,0,0.0,0.0
0.0765308,0,0.0,0.0
0.07960215,0,0.0,0.0
0.074382104,0,0.0,0.0
0.078961164,0,0.0,0.0
0.10274624,0,0.0,0.0
0.12829147,0,0.0,0.0
0.13266002,0,0.0,0.0
0.11741659,0,0.0,0.0
0.11312498,0,0.0,0.0
0.14407255,0,0.0,0.0
0.15420756,0,0.0,0.0
0.1467755,0,0.0,0.0
0.12050649,0,0.0,0.0
0.111091204,0,0.0,0.0
0.10659495,0,0.0,0.0
0.11196479,0,0.0,0.0
0.12000176,0,0.0,0.0
0.134631,0,0.0,0.0
0.1317096,0,0.0,0.0
0.12092047,0,0.0,0.0
0.118654326,0,0.0,0.0
0.1465723,0,0.0,0.0
0.16216365,0,-0.14768626,0.0
0.15381095,0,-0.21326551,0.0
0.12342863,0,-0.2923304,0.0
0.11153256,0,-0.29417276,0.0
0.11103069,0,-0.17948034,0.0
0.12186957,0,-0.14092827,0.0
0.13064282,0,-0.12931101,0.0
0.14621802,0,-0.100942574,0.0
0.1432554,0,-0.03510375,0.0
0.13502891,0,0.0,0.0
0.1345205,0,0.0,0.0
0.19182222,0,0.0,0.0
0.21018262,0,0.0,0.0
0.20095497,0,0.0,0.0
0.13611396,0,0.0,0.0
0.116962254,0,0.0,0.0
0.11311964,0,0.01401485,0.0
0.13469018,0,0.0,0.0
0.14270364,0,0.0,0.0
0.14566466,0,0.0,0.0
0.12020898,0,0.0,0.0
0.113629915,0,0.0,0.0
0.12741995,0,0.0,0.0
0.19224483,0,0.0,0.0
0.20930806,0,0.0,0.0
0.19800575,0,0.0,0.0
0.13709328,0,0.0,0.0
0.117558725,0,0.0,0.0
0.11338321,0,0.0,0.0
0.13826266,0,0.0,0.0
0.14504103,0,-0.013793334,0.0
0.14631271,0,-0.019663472,0.0
0.11149126,0,0.0,0.0
0.10540533,0,-0.011341345,0.0
0.114944465,0,0.0,0.0
0.17295356,0,0.0,0.0
0.19092047,0,0.0,0.0
0.19130954,0,0.0,0.0
0.14043242,0,0.0,0.0
0.11466119,0,0.0,0.0
0.08983182,0,0.0,0.0
0.11378646,0,-0.030902712,0.0
0.12118541,0,-0.046559375,0.0
0.12450675,0,0.0,0.0
0.09174568,0,0.0,0.0
0.08905192,0,0.0,0.0
0.09381923,0,0.0,0.0
0.13076374,0,0.0,0.0
0.13206314,0,0.0,0.0
0.13077244,0,0.0,0.0
0.08389084,0,0.0,0.0
0.051034145,0,0.0,0.0
0.018301522,0,0.0,0.0
0.035083197,0,0.0,0.0
0.042247035,0,-0.4744983,0.0
0.040997136,0,-0.51953775,0.0
0.009487992,0,-0.5323166,0.0
0.0037926324,0,-0.68084604,0.0
-0.0055575636,0,-0.6849689,0.0
0.014003607,0,-0.6942484,0.0
0.0021816231,0,-0.68344045,0.0
0.0024281752,0,-0.6866761,0.0
-0.037942838,0,-0.5709574,0.0
-0.06706625,0,-0.5250893,0.0
-0.09404162,-1,-0.51703644,0.016548700909785347
-0.09036379,-1,-0.55034834,0.0
-0.06492102,0,-0.58566535,0.0
-0.027883928,0,-0.5905805,0.0
-0.002559834,0,-0.640382,0.0
0.010310875,0,-0.6715835,0.0
-0.008744357,0,-0.71938694,0.0
0.009481249,0,-0.7243083,0.0
0.009471472,0,-0.69745564,0.0
0.02637569,0,-0.5764041,0.0
-0.012158945,0,-0.5706977,0.0
-0.052071173,0,-0.5480448,0.0
-0.091986425,-1,-0.56763256,0.0
-0.112219654,-1,-0.58742774,0.0
-0.0813674,0,-0.6034578,0.0
-0.018787289,0,-0.6234811,0.0
0.007948251,0,-0.6024128,0.0
-0.005122512,0,-0.64386964,0.0
-0.076384075,0,-0.4303776,0.0
-0.0733002,0,-0.40935192,0.0
-0.07709699,0,-0.41453105,0.0
-0.06954794,0,-0.44197616,0.0
-0.11110391,-1,-0.39121532,0.0
-0.14183284,-1,-0.43035376,0.0
-0.15923437,-1,-0.4220732,0.0
-0.17186534,-1,-0.46816307,0.0
-0.11753738,-1,-0.49512383,0.0
-0.019432556,0,-0.5221432,0.0
0.040062815,0,-0.49602473,0.0
0.024427054,0,-0.27327368,0.0
-0.07185969,0,-0.30622235,0.0
-0.059678305,0,-0.1764867,0.0
-0.061354782,0,-0.114569366,0.0
